Run,Rpm,Volume (ml),Time start,Time Stop,Time Passed,Volume/Time (ml/s),,,Dosing Input,Signal Output (mA),RPM (200 Max),200,RPM (100 Max),100.0000
1,20,20,14:34:19,14:54:00,0:19:41,0.016927849,,,0,4,0,0,0,0.0000
2,40,10,14:57:09,15:02:07,0:04:58,0.033593007,,,1,4.5,5.7,0.0285,2.8,0.0280
3,60,10,15:03:04,15:06:20,0:03:16,0.051072262,,,2,5.1,12.5,0.0625,6.2,0.0620
4,80,10,15:07:12,15:09:37,0:02:25,0.069089402,,,3,5.6,19.3,0.0965,9.6,0.0960
5,100,10,15:11:11,15:13:09,0:01:58,0.084425233,,,4,6.2,26.1,0.1305,13,0.1300
6,150,10,15:13:53,15:15:11,0:01:19,0.127370688,,,5,6.7,32.9,0.1645,16.4,0.1640
7,200,10,15:16:08,15:17:07,0:00:59,0.168460774,,,6,7.3,39.7,0.1985,19.8,0.1980
8,20,10,15:17:46,15:27:38,0:09:52,0.016888640,,,7,7.8,46.5,0.2325,23.2,0.2320
9,10,10,15:28:15,15:48:15,0:20:00,0.008334959,,,8,8.3,53.2,0.266,26.6,0.2660
10,10,2.5,15:49:17,15:54:17,0:05:00,0.008344766,,,9,8.9,60,0.3,30,0.3000
,,,,,,,,,10,9.4,66.8,0.334,33.4,0.3340
,,,,,01:19:58,,,,11,10,73.7,0.3685,36.8,0.3680
,,,,,,,,,12,10.5,80.5,0.4025,40.2,0.4020
,,,,,,,,,13,11,87.2,0.436,43.6,0.4360
,,,,,,,,,14,11.6,94,0.47,47,0.4700
,,,,,,,,,15,12.1,100.8,0.504,50.4,0.5040
,,,,,,,,,16,12.7,107.6,0.538,53.8,0.5380
,,,,,,,,,17,13.2,114.4,0.572,57.2,0.5720
,,,,,,,,,18,13.8,121.2,0.606,60.6,0.6060
,,,,,,,,,19,14.3,128,0.64,64,0.6400
,,,,,,,,,20,14.8,134.8,0.674,67.4,0.6740
,,,,,,,,,21,15.4,141.6,0.708,70.8,0.7080
,,,,,,,,,22,15.9,148.3,0.7415,74.1,0.7410
,,,,,,,,,23,16.5,155.1,0.7755,77.5,0.7750
,,,,,,,,,24,17,161.9,0.8095,80.9,0.8090
,,,,,,,,,25,17.5,168.7,0.8435,84.3,0.8430
,,,,,,,,,26,18.1,175.5,0.8775,87.7,0.8770
,,,,,,,,,27,18.6,182.3,0.9115,91.1,0.9110
,,,,,,,,,28,19.2,189.1,0.9455,94.5,0.9450
,,,,,,,,,29,19.7,195.9,0.9795,97.9,0.9790
,,,,,,,,,29.5,20,199.3,0.9965,99.6,0.9960